

中央频道,#genre#
重庆卫视,http://tvpull.careryun.com/tv/cn_cqws.m3u8
重庆卫视,http://175.10.230.91:8081/tsfile/live/0142_1.m3u8

浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://183.255.10.91:6610/200000001898/460000089800010070/1.m3u8?IASHttpSessionId=OTT
浙江卫视,http://175.10.230.91:8081/tsfile/live/0124_1.m3u8

江苏卫视,http://z.b.bkpcp.top/m.php?id=jsws
江苏卫视,http://183.255.10.91:6610/200000001898/460000089800010059/1.m3u8?IASHttpSessionId=OTT
江苏卫视,http://175.10.230.91:8081/tsfile/live/0127_1.m3u8

安徽卫视,http://tvpull.careryun.com/tv/ahws.m3u8
安徽卫视,http://175.10.230.91:8081/tsfile/live/0130_1.m3u8

广东卫视,http://z.b.bkpcp.top/m.php?id=gdws
广东卫视,http://175.10.230.91:8081/tsfile/live/0125_1.m3u8

深圳卫视,http://tvpull.careryun.com/tv/cn_szws.m3u8
深圳卫视,http://175.10.230.91:8081/tsfile/live/0126_1.m3u8

大湾区卫视,http://z.b.bkpcp.top/m.php?id=dwqws

东南卫视,http://z.b.bkpcp.top/m.php?id=dnws
东南卫视,http://183.255.10.90:6610/200000001898/460000089800010096/1.m3u8?IASHttpSessionId=OTT
东南卫视,http://175.10.230.91:8081/tsfile/live/0137_1.m3u8

厦门卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_XIAMEN/G_XIAMEN.m3u8

海南卫视,http://tvpull.careryun.com/tv/hainws.m3u8
海南卫视,http://175.10.230.91:8081/tsfile/live/1003_1.m3u8

三沙卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_SANSHA-HQ/G_SANSHA-HQ.m3u8

广西卫视,http://183.255.10.90:6610/200000001898/460000089800010099/1.m3u8?IASHttpSessionId=OTT
广西卫视,http://tvpull.careryun.com/tv/cn_gxws.m3u8
广西卫视,http://175.10.230.91:8081/tsfile/live/0113_1.m3u8

云南卫视,https://hwapi.yntv.net/62hdvf/41hse3.m3u8
云南卫视,http://183.255.10.90:6610/200000001898/460000089800010119/1.m3u8?IASHttpSessionId=OTT
云南卫视,http://175.10.230.91:8081/tsfile/live/0119_1.m3u8

贵州卫视,http://tvpull.careryun.com/tv/cn_gzws.m3u8
贵州卫视,http://175.10.230.91:8081/tsfile/live/0120_1.m3u8

四川卫视,http://175.10.230.91:8081/tsfile/live/0123_1.m3u8

湖北卫视,http://z.b.bkpcp.top/m.php?id=hubws
湖北卫视,http://tvpull.careryun.com/tv/hbws.m3u8
湖北卫视,http://175.10.230.91:8081/tsfile/live/0132_1.m3u8

江西卫视,http://z.b.bkpcp.top/m.php?id=jxws
江西卫视,http://tvpull.careryun.com/tv/jxws.m3u8
江西卫视,http://175.10.230.91:8081/tsfile/live/0138_1.m3u8

山东卫视,http://175.10.230.91:8081/tsfile/live/0131_1.m3u8

河南卫视,http://z.b.bkpcp.top/m.php?id=hnws
河南卫视,http://175.10.230.91:8081/tsfile/live/0139_1.m3u8

河北卫视,http://175.10.230.91:8081/tsfile/live/0117_1.m3u8

辽宁卫视,http://175.10.230.91:8081/tsfile/live/0121_1.m3u8

吉林卫视,http://tvpull.careryun.com/tv/jlws.m3u8
吉林卫视,http://175.10.230.91:8081/tsfile/live/0116_1.m3u8

黑龙江卫视,http://tvpull.careryun.com/tv/cn_hljws.m3u8
黑龙江卫视,http://175.10.230.91:8081/tsfile/live/0143_1.m3u8

陕西卫视,http://z.b.bkpcp.top/m.php?id=sxws
陕西卫视,http://175.10.230.91:8081/tsfile/live/0136_1.m3u8

山西卫视,http://175.10.230.91:8081/tsfile/live/0118_1.m3u8

甘肃卫视,http://219.145.59.166:8888/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://tvpull.careryun.com/tv/cn_gsws.m3u8

宁夏卫视,http://175.10.230.91:8081/tsfile/live/0112_1.m3u8

内蒙古卫视,http://175.10.230.91:8081/tsfile/live/0109_1.m3u8

青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=1da074361609506578
青海卫视,http://tvpull.careryun.com/tv/qhws.m3u8

西藏卫视,http://175.10.230.91:8081/tsfile/live/0111_1.m3u8

新疆卫视,http://tvpull.careryun.com/tv/cn_xjws.m3u8
新疆卫视,http://175.10.230.91:8081/tsfile/live/0110_1.m3u8

兵团卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_BINGTUAN/G_BINGTUAN.m3u8

农林卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_NONGLIN/G_NONGLIN.m3u8

延边卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_YANBIAN/G_YANBIAN.m3u8

康巴卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_KANGBA/G_KANGBA.m3u8

安多卫视,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_ANDUO/G_ANDUO.m3u8

卡酷少儿,http://175.10.230.91:8081/tsfile/live/1005_1.m3u8

优漫卡通,http://175.10.230.91:8081/tsfile/live/1006_1.m3u8






凤凰台,#genre#

凤凰中文,http://yulang132.cn:58888/udp/239.93.0.162:2192
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw

凤凰资讯,http://yulang132.cn:58888/udp/239.93.0.118:2191
凤凰资讯,http://cdn3.132.us.kg/live/fhzx/stream.m3u8
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2





